"US surpasses 60,000 deaths due to coronavirus - "
"the corona virus hit corona Queens 

CNN Breaking: Queens, New York - CDC officials have confirmed a case of coronavirus circulating nearby neighborhoods. Check to follow updates: http://pbs.twimg.com/media/BG48ENgCEAAIDl9.jpg …    
(Spread the News)"
how do i get the  #coronavirus? im ready to die now
Even more worst than Ebola :#coronavirus https://twitter.com/evolambert/status/1219726784633167875 …
This is a serious thread #coronavirus https://twitter.com/evolambert/status/1219726784633167875 …
"I find this difficult to watch 

Shocking clip shows suspected coronavirus carriers dragged from homes https://mol.im/a/7980883  @MailOnline"
Wuhan medic says 'there are more coronavirus deaths and infections' https://mol.im/a/7966081  @MailOnline
Not saying it’ll work but have people with Corona Virus tried having Chai Nabat. That shit cures everything
"Coronavirus update: 1,018 deaths, a new case in San Diego, 195 evacuees expected to leave quarantine - MarketWatch https://www.marketwatch.com/story/coronavirus-update-1018-deaths-a-new-case-in-san-diego-who-to-set-research-agenda-2020-02-11 …"
"More than 180 million Chinese people have passports, but they’re trapped at home by the coronavirus lockdown. https://www.wsj.com/articles/amid-coronavirus-the-world-closes-its-doors-to-china-i-feel-so-isolated-11582060811 …"
Coronavirus epidemic 'has PEAKED in China' https://mol.im/a/8039517  @MailOnline
$EXFO out with a wicked rev warn AH due to the Coronavirus...Now guiding 55m vs 70m...Yikes
If you are scared of the coronavirus you have way too much time on your hands.
Trump actually wants to cut heating aid for the poor in exchange for more coronavirus funding: report https://www.alternet.org/2020/02/trump-actually-wants-to-cut-heating-aid-for-the-poor-in-exchange-for-more-coronavirus-funding-report/#.XlcFnaSIZpM.twitter …
55 cases of corona virus in America. 40 of them off the Japanese cruise ship 2 others with the virus. That means 13 cases in the USA in 5 weeks. Great Job America. As usual. Who the hell is panicking over a case of flu that’s easily cured. MSM & Dems. US deaths 0.  Calm down .
Northern Italy shutting down as coronavirus cases surge; three dead - The Globe and Mail https://www.theglobeandmail.com/world/article-northern-italy-shutting-down-as-coronavirus-cases-surge-three-dead/ …
"RT @Ashi_IndiaToday: We have to agree apart from #Kerala, #AndhraPradesh is doing a fabulous job dealing with #coronavirus pandemic. It has…"
RT @allieyoung13: The death toll on #NavajoNation has reached 298 due to #COVID19. That’s 298 Navajo lives including 5 Medicine People gone…
‘All of a Sudden It Blows Up’: Arkansas' COVID Problem Is Just Getting Started #coronavirus #COVID19… https://t.co/qAhjuqesWW
"RT @picardonhealth: By failing to test and trace properly, Canada is still flying blind on #COVID19: @globeandmail editorial https://t.co/Q…"
"RT @electroboyusa: #FlattenTheCurve is a nice goal, but it's rising, @POTUS 

Do you even meet with the @SurgeonGeneral, the @CDC, #DrFauci…"
RT @KGeorgieva: Rwanda’s response to #COVID19 has been swift and decisive. The IMF’s approval today of a further $111.06 million in emergen…
"New episode of my #Selfmade #millionaires stories. How a car mechanic made 200,000 yuan in just 3 days during the… https://t.co/R5fvpeKyxP"
That loaded potato looks fire af
"RT @BytheEm: This should get serious media attention.
#Florida has been Lying about #COVID19 positive's. They fired 
this Scientist for pos…"
I’m more likely to contract some weird veenirial disease walking in Penn Station than I am to catch coronavirus LOL. I remember when girls in HS specifically asked me (the one black girl) why I wasn’t scared of ebola and I said “Are you going to New York Presbyterian and making—
Coronavirus is reminding me of how people treated Ebola back in 2015. A lot of hysteria (although ebola had a MUCH higher mortality rate) and a lot of people using the excuse of “health” to be prejudiced. Idk man like could everyone just wash their hands and chill
My Umrah trip for next week was cancelled due to uncertainty surrounding coronavirus. I’m pretty heartbroken about it but alhamdulilah.
So what happens when corona virus hits all the people ice been locking up?
"My answer to What's the possibility that the corona virus actually started here in the US and was the true culprit of those lung diseases, which vaping took the blame second half 2019? https://www.quora.com/Whats-the-possibility-that-the-corona-virus-actually-started-here-in-the-US-and-was-the-true-culprit-of-those-lung-diseases-which-vaping-took-the-blame-second-half-2019/answer/Mike-Sullivan-347?share=04871174 …"
Did Congress approve money for the coronavirus before last week? No. So stop Blaming Trump and blame Congress.
Growing evidence suggests the coronavirus can spread through poop. Here's how to protect yourself. #coronavirus #coronavirususahttps://news.yahoo.com/growing-evidence-suggests-coronavirus-spread-000300699.html …
UM Congress controls the purse strings of the nation. Why did it take till just this past week for Congress to pass a bill that appropriated money to fight coronavirus? How was Trump supposed to pay for the tests you now want to magically appear when the money was just gone him?
"60 million people got infected with the swine flu. 12.8k deaths reported. That’s 1 in every 4,687 cases dead. 101,954 global cases of corona virus cases, 3,466 deaths. That’s approximately one death every 29 cases. If that doesn’t scare y’all I don’t know what to say."
"Dow closes down almost 800 points as reality of coronavirus epidemic sinks in
#News #Business #JimCramer #Washington #TheWorldBank #Texas #Dow #DonaldTrump #JeromePowell #NBCNews #CNBC #DC #Facebook #Austin #Fedhttps://thenewshook.com/results.php?q=aHR0cHM6Ly93d3cubmJjbmV3cy5jb20vYnVzaW5lc3MvbWFya2V0cy9kb3ctY2xvc2VzLWRvd24tYWxtb3N0LTgwMC1wb2ludHMtcmVhbGl0eS1lcGlkZW1pYy1zaW5rcy1uMTE0ODM3MQ==&image=aHR0cHM6Ly9tZWRpYTIucy1uYmNuZXdzLmNvbS9qL25ld3NjbXMvMjAyMF8xMC8zMjUzODgxLzIwMDMwMy1uZXcteW9yay1zdG9jay1leGNoYW5nZS1ueXNlLWV3LTIzNnBfNmU1OTg2N2Q0ODhmMjJhYTQ2OTFmMGQ0YWFjMTVmNmIubmJjbmV3cy1mcC0xMjAwLTYzMC5qcGc=&pub=nbcnews.com&des=Dow+closes+down+almost+800+points+as+reality+of+coronavirus+epidemic+sinks+in&title=Dow+closes+down+almost+800+points+as+reality+of+coronavirus+epidemic+sinks+in&pubDate=2020-03-03T16:02:00Z …"
"Guy in the street: Removes face mask to eat a kabob just purchased at street cart.

Me: Laughing as I watch the street vendor washing his food bowl in the gutter. 

#covid19 #coronavirus"
Corona Virus memes are getting boring and tiring 
Trump donates his fourth quarter salary to HHS to help coronavirus https://mol.im/a/8071331  @MailOnline
New Yorkers during this coronavirus scare https://twitter.com/Mufaa6/status/1234905221035253760 …
"Not to be a conspiracy theory douche, but until some rich ppl & world leaders start dropping from #coronavirus I think it was put out to kill off poor & old(but also poor) ppl.

Try n tell me china/russia/trump/NK etc wouldn't 
#COVID19"
"This ain’t  a bed, Its a quarantine chamber for the #coronavirus Dude wearing a mask and everything. https://twitter.com/theGunrun/status/1234153103408029696 …"
"Wow... Coronavirus in NY?

Coronavirus in N.Y.: 2,733 People Are Under Quarantines in City - The New York Times https://www.nytimes.com/2020/03/05/nyregion/coronavirus-new-york-cases.html …"
Who has the hand sanitizer hookup in #Rockland? I've been running to stores ALL DAY #coronavirus
"I'm exhausted. Coronavirus is terrifying my coworkers & as the resident nurse, I'm asked to explain why WHO says 1 thing & trump says another, I've walked about 10 miles door knocking between yesterday & today, & phonebanked Friday night. The trump administration is exhausting."
NY AG hits Jim Bakker with cease-and-desist order over alleged coronavirus cure - ABC News https://abcnews.go.com/US/ny-attorney-general-orders-televangelist-jim-bakker-stop/story?id=69472032 … (via @ABC)
Bill & Melinda Gates Foundation to fund coronavirus home-testing kits in Seattle https://nypost.com/2020/03/08/bill-melinda-gates-foundation-to-fund-coronavirus-home-testing-kits-in-seattle/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost
"RT Talent_metrics ""The Coronavirus Is Forcing Techies To Work From Home. Some May Never Go Back To The Office. https://buff.ly/2TBr9eB  #remotework #Telecommute #HRTech"""
"During the Coronavirus pandemic be sure you’re practicing safe sex. Have intercourse using only your elbows, and ejaculate onto your arm instead of your hands."
Good suggestions on how to cope with coronavirus anxiety. Yoga has helped me a lot https://www.wsj.com/articles/how-to-manage-your-coronavirus-anxiety-11583424434 … via @WSJ
"huh, who woulda thunk? (this is from 2015 ) #COVID19 #coronavirus https://twitter.com/NatureNews/status/666158895149264897 …"
Have they released an official list of things we are and are not allowed to lick? #COVID19 #coronavirus
"Solely MY OPINION (always follow globalists controlled governments: not me) it was because of wealthy Chinese traveling to Italy to buy up everything. Not just Italy either

#CoronavirusPandemic #coronavirus #CoronaVirusUpdate #trump #Trump2020 #MAGA #QAnonhttps://twitter.com/LazaroLanza/status/1238252338428678149 …"
"I hope I can be one of those people u pay it forward to if you still plan on doing so. I could really use it since I have to go to class still during this Coronavirus, plus I could use it for lunch for class. $YassMulaa thanks in advance and CONGRATS!!!!!!"
"Exactly, I was at @CPAC and felt sick last week with a fever. I went to the Dr. and told them that I was exposed to someone at @CPAC that has #Coronavirus and has symptoms. They refused to test me."
How soap absolutely annihilates the coronavirus https://www.vox.com/science-and-health/2020/3/11/21173187/coronavirus-covid-19-hand-washing-sanitizer-compared-soap-is-dope?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom
Five things to help stop the spread of coronavirus https://twitter.com/i/events/1239712380373708800 …
Jared Kushner “sparks confusion” after creating his own “shadow task force” on coronavirus: report #coronavirus https://flip.it/rB6oRH 
Ex-Real Madrid president Lorenzo Sanz dies of coronavirus - New York Daily News https://www.nydailynews.com/coronavirus/ny-coronavirus-real-madrid-president-dead-lorenzo-sanz-20200321-s6g7zqw3hzeplmyly35ci77r44-story.html …
"Coronavirus Cases Top 305,000 With U.S. Covid-19 Cases Above 24,000; Stimulus May Hit $2 Trillion Amid Coronavirus Market Crash 
https://www.investors.com/news/coronavirus-cases-u-s-covid-19-infections-stimulus-deal-coronavirus-stock-market-crash/ … via @IBDinvestors"
Coronavirus pushes New York City's food pantries to 'nothing short of a crisis' https://www.politico.com/states/new-york/albany/story/2020/03/21/coronavirus-pushes-new-york-citys-food-pantries-to-nothing-short-of-a-crisis-1268595 …
Washington Post media columnist calls for networks to stop airing Trump's 'dangerous' coronavirus briefings live
Which Overwatch characters tested positive for corona virus???
Five things to help stop the spread of coronavirus https://twitter.com/i/events/1239712380373708800 …
Jared Kushner “sparks confusion” after creating his own “shadow task force” on coronavirus: report #coronavirus https://flip.it/rB6oRH 
"OMG ""56% of California's population 25.5 million people will be infected with the #coronavirus within the next 8 weeks"".  @PTeach111 #scaryhttps://twitter.com/K_JeanPierre/status/1240787980996038662 …"
Which Overwatch characters tested positive for corona virus???
Ex-Real Madrid president Lorenzo Sanz dies of coronavirus - New York Daily News https://www.nydailynews.com/coronavirus/ny-coronavirus-real-madrid-president-dead-lorenzo-sanz-20200321-s6g7zqw3hzeplmyly35ci77r44-story.html …
"Coronavirus Cases Top 305,000 With U.S. Covid-19 Cases Above 24,000; Stimulus May Hit $2 Trillion Amid Coronavirus Market Crash 
https://www.investors.com/news/coronavirus-cases-u-s-covid-19-infections-stimulus-deal-coronavirus-stock-market-crash/ … via @IBDinvestors"
Coronavirus pushes New York City's food pantries to 'nothing short of a crisis' https://www.politico.com/states/new-york/albany/story/2020/03/21/coronavirus-pushes-new-york-citys-food-pantries-to-nothing-short-of-a-crisis-1268595 …
Washington Post media columnist calls for networks to stop airing Trump's 'dangerous' coronavirus briefings live
"Exactly, I was at @CPAC and felt sick last week with a fever. I went to the Dr. and told them that I was exposed to someone at @CPAC that has #Coronavirus and has symptoms. They refused to test me."
How soap absolutely annihilates the coronavirus https://www.vox.com/science-and-health/2020/3/11/21173187/coronavirus-covid-19-hand-washing-sanitizer-compared-soap-is-dope?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom
