,hashtags,timestamp,text,screen_name,likes,retweets
10,['Covid_19'],2020-03-22 00:28:00,"Welcome Govt of India's decision to allow private labs to test for #Covid_19. Quick, accurate & cost-effective testing is an imp weapon in our fight against this pandemic. We have requested ICMR to also approve a Virology Lab for Faridkot Medical College to facilitate testing.pic.twitter.com/VyHpcyWzGF",capt_amarinder,1089,170
11,['Covid'],2020-03-20 13:47:59,"Assured PM that my Govt will seamlessly coordinate with the Union Govt. Requested him to draft all public & private hospitals in the fight against #Covid-19 due to enormity of challenge. Apprised him of our arrangements for 16,000 quarantine beds & 2800 hospital isolation beds. pic.twitter.com/LA97X98lV9",capt_amarinder,1836,300
12,['MissionFatehpic'],2020-06-23 05:03:25,"Punjab Cabinet has approved setting up of 4 New Covid Testing labs along with appointment of 4 Asst. Professors & 131 essential staff. This would further scale up our testing capacity to 13,000 from existing 9000/day. We are fully prepared for the challenges ahead. #MissionFatehpic.twitter.com/eF976wfcls",capt_amarinder,1351,160
13,['Covid19'],2020-06-01 11:26:18,We have decided to levy additional Excise Duty & Assessed Fee in lieu of Covid Cess on liquor with effect from 1 June 2020. These would range from INR 2 to INR 50 depending on type and size of the item sold. The amount collected will be utilised for #Covid19 related expenditure.,capt_amarinder,1416,256
14,['COVID_19'],2020-04-27 16:20:19,Had an introductory meeting with the Group of experts headed by Montek Singh Ahluwalia ji. I want the best for Punjab and couldn't think of better people to guide us towards economic revival post- #COVID_19. This battle is a long one and we need to be prepared on every front.pic.twitter.com/9I1YTDuh3U,capt_amarinder,2515,352
15,['Covid_19'],2020-04-10 00:30:00,Masks are compulsory in Punjab now. Health Secretary is issuing a detailed advisory for the people. Just remember to wear mask when you step out of home for any emergency/essentials. A piece of clean cloth is all you need. Let’s all stay safe and fight #Covid_19 together.pic.twitter.com/jIPRgbnOWX,capt_amarinder,1670,383
16,[],2020-04-03 11:19:09,"[Live] Interview with @Jagbani on Punjab's fight against Covid-19
 https://twitter.com/i/broadcasts/1jMJgQovrQkKL …",capt_amarinder,251,77
17,['Covid19'],2020-03-25 03:30:00,"Setting up Punjab CM CoViD Relief Fund to receive contributions from individuals, organisations & corporates to assist fellow Punjabis in our fight against #Covid19. Your contributions will be used for the benefit of the underprivileged. I thank you all for your support. pic.twitter.com/5XBF11jdLy",capt_amarinder,2294,606
18,['Covid_19'],2020-03-22 00:28:00,"Welcome Govt of India's decision to allow private labs to test for #Covid_19. Quick, accurate & cost-effective testing is an imp weapon in our fight against this pandemic. We have requested ICMR to also approve a Virology Lab for Faridkot Medical College to facilitate testing.pic.twitter.com/VyHpcyWzGF",capt_amarinder,1089,170
19,['Covid'],2020-03-20 13:47:59,"Assured PM that my Govt will seamlessly coordinate with the Union Govt. Requested him to draft all public & private hospitals in the fight against #Covid-19 due to enormity of challenge. Apprised him of our arrangements for 16,000 quarantine beds & 2800 hospital isolation beds. pic.twitter.com/LA97X98lV9",capt_amarinder,1833,300
20,[],2020-07-07 08:34:06,"Watch live as CM Uddhav Balasaheb Thackeray inaugurates 3520 bed COVID treatment facilities. These facilities will be spread out across Mulund, Dahisar,  Mahalaxmi Race course and Bandra Kurla Complex (BKC)

Link: https://bit.ly/2BNtldT pic.twitter.com/u3CQiETXp1",CMOMaharashtra,4418,479
21,['WarAgainstViruspic'],2020-07-03 11:41:47,"1,01,172 patients have been cured of COVID 19 & have returned home. This number stands crucial as humanity is fighting against an invisible enemy.

Our machinery is working 24x7 to leave no stone unturned. We can and we will win this #WarAgainstViruspic.twitter.com/JRb3p16bIn",CMOMaharashtra,3477,419
22,[],2020-07-02 08:34:10,"Maharashtra has conducted over 10 lakh COVID-19 tests in the State. As we ‘Chase the Virus’ we will continue to Trace, Test, Treat. pic.twitter.com/T5mDDJxaDJ",CMOMaharashtra,3429,317
23,[],2020-06-30 07:13:10,"Under the Mahatma Jyotiba Phule Jan Arogya Yojana, the State government treated around 1.22 lakh COVID 19 patients free of charge. 1,41,578 patients suffering from cancer, heart and kidney ailments, among others were also treated free of cost under this yojna.",CMOMaharashtra,1292,152
24,[],2020-06-29 10:57:20,"Launching 'Project Platina' - World's largest convalescent plasma therapy trial to treat COVID patients, CM Uddhav Balasaheb Thackeray called donors of plasma ‘lifesavers’. pic.twitter.com/WYBggALFMq",CMOMaharashtra,927,101
25,[],2020-06-29 08:14:29,‘Project PLATINA’-World’s Largest  convalescent plasma therapy trial cum treatment of severe COVID 19 patients was today launched by @Maha_MEDD & inaugurated by CM Uddhav Balasaheb Thackeray.pic.twitter.com/wkbRaoaEP6,CMOMaharashtra,1487,203
26,[],2020-06-29 07:21:13,"CM Uddhav Balasaheb Thackeray launches 'Project Platina' - World's largest convalescent plasma therapy trial to treat COVID-19 patients.

@bb_thorat @Subhash_Desai @AmitV_Deshmukh @Balasaheb_P_Ncp @Maha_MEDD",CMOMaharashtra,2262,237
27,[],2020-06-25 15:40:13,"Thank you @ProcterGamble for donating ₹1Cr for the State's COVID response effort & distributing 6 lakh+ sanitary pads, hygiene kits for elderly & 2lakh+ protective equipments for our frontline warriors",CMOMaharashtra,3273,218
28,[],2020-06-22 13:25:15,"‘Mission Zero COVID Cases’
Rapid Action Plan launched today by flagging off 50 Mobile Dispensary Vans. 

Targeting Mulund, Bhandup, Andheri, Malad, Borivali, Dahisar & Kandivali in the next 21days to conduct preliminary examination. https://twitter.com/mybmc/status/1275023559740362752 …",CMOMaharashtra,3909,464
29,[],2020-06-17 15:49:17,"CM Uddhav Balasaheb Thackeray today E- inaugurated Phase-2 of the COVID-19 hospital at BKC created by @MMRDAOfficial in just 18 days. 

The facility has 1000 beds, including 104 Intensive Care Unit (ICU) beds, 12 dialysis beds & the rest are non-oxygen & oxygen supplied beds.pic.twitter.com/BQOxiHJcw6",CMOMaharashtra,2237,253
30,[],2020-07-07 08:34:06,"Watch live as CM Uddhav Balasaheb Thackeray inaugurates 3520 bed COVID treatment facilities. These facilities will be spread out across Mulund, Dahisar,  Mahalaxmi Race course and Bandra Kurla Complex (BKC)

Link: https://bit.ly/2BNtldT pic.twitter.com/u3CQiETXp1",CMOMaharashtra,4418,479
31,['WarAgainstViruspic'],2020-07-03 11:41:47,"1,01,172 patients have been cured of COVID 19 & have returned home. This number stands crucial as humanity is fighting against an invisible enemy.

Our machinery is working 24x7 to leave no stone unturned. We can and we will win this #WarAgainstViruspic.twitter.com/JRb3p16bIn",CMOMaharashtra,3477,419
32,[],2020-07-02 08:34:10,"Maharashtra has conducted over 10 lakh COVID-19 tests in the State. As we ‘Chase the Virus’ we will continue to Trace, Test, Treat. pic.twitter.com/T5mDDJxaDJ",CMOMaharashtra,3429,317
33,[],2020-06-30 07:13:10,"Under the Mahatma Jyotiba Phule Jan Arogya Yojana, the State government treated around 1.22 lakh COVID 19 patients free of charge. 1,41,578 patients suffering from cancer, heart and kidney ailments, among others were also treated free of cost under this yojna.",CMOMaharashtra,1292,152
34,[],2020-06-29 10:57:20,"Launching 'Project Platina' - World's largest convalescent plasma therapy trial to treat COVID patients, CM Uddhav Balasaheb Thackeray called donors of plasma ‘lifesavers’. pic.twitter.com/WYBggALFMq",CMOMaharashtra,927,101
35,[],2020-06-29 08:14:29,‘Project PLATINA’-World’s Largest  convalescent plasma therapy trial cum treatment of severe COVID 19 patients was today launched by @Maha_MEDD & inaugurated by CM Uddhav Balasaheb Thackeray.pic.twitter.com/wkbRaoaEP6,CMOMaharashtra,1487,203
36,[],2020-06-29 07:21:13,"CM Uddhav Balasaheb Thackeray launches 'Project Platina' - World's largest convalescent plasma therapy trial to treat COVID-19 patients.

@bb_thorat @Subhash_Desai @AmitV_Deshmukh @Balasaheb_P_Ncp @Maha_MEDD",CMOMaharashtra,2262,237
37,[],2020-06-25 15:40:13,"Thank you @ProcterGamble for donating ₹1Cr for the State's COVID response effort & distributing 6 lakh+ sanitary pads, hygiene kits for elderly & 2lakh+ protective equipments for our frontline warriors",CMOMaharashtra,3273,218
38,[],2020-06-22 13:25:15,"‘Mission Zero COVID Cases’
Rapid Action Plan launched today by flagging off 50 Mobile Dispensary Vans. 

Targeting Mulund, Bhandup, Andheri, Malad, Borivali, Dahisar & Kandivali in the next 21days to conduct preliminary examination. https://twitter.com/mybmc/status/1275023559740362752 …",CMOMaharashtra,3909,464
39,[],2020-06-17 15:49:17,"CM Uddhav Balasaheb Thackeray today E- inaugurated Phase-2 of the COVID-19 hospital at BKC created by @MMRDAOfficial in just 18 days. 

The facility has 1000 beds, including 104 Intensive Care Unit (ICU) beds, 12 dialysis beds & the rest are non-oxygen & oxygen supplied beds.pic.twitter.com/BQOxiHJcw6",CMOMaharashtra,2237,253
40,[],2020-06-17 09:22:33,"CM Uddhav Balasaheb Thackeray today E-inaugurated 10-storey COVID-19 Hospital set up at Balkum-Saket in Thane to effectively combat the pandemic.The facility has 1024 beds, including 500 beds with oxygen support, 76 ICU beds and 10 with dialysis units and 10 for trauma. pic.twitter.com/8QPBqnWnNf",CMOMaharashtra,2027,239
41,[],2020-06-16 16:16:39,"Earlier today, Chief Secretary Ajoy Mehta ji and Public Health Secretary Pradeep Vyas ji declared reconciliation figures for the deaths in the COVID pandemic in Maharashtra.",CMOMaharashtra,1626,115
42,[],2020-06-11 09:40:52,"Thank you ICICI Venture Funds Management and all its employees for contributing ₹1 crore to the Chief Minister’s Relief Fund. Your contribution will further help strengthen our efforts to fight the COVID-19 pandemic.

@ICICIBank @prashntpurker ji",CMOMaharashtra,2187,163
43,[],2020-06-09 11:27:43,"CM Uddhav Balasaheb Thackeray inaugurated the Virology Laboratory in the District General Hospital of Ratnagiri earlier today.

Henceforth, the pace of testing for COVID-19 will increase. This will benefit everyone in the district. pic.twitter.com/2b3qsE9lxj",CMOMaharashtra,1131,130
44,[],2020-06-01 11:49:24,"We thank Nita ji and Mukesh ji for their support to the COVID relief efforts by Maharashtra State. In addition to the field hospitals the State is making, the Ambani family has generously offered support by converting Jio World Centre into a state-of-the-art isolation centre.",CMOMaharashtra,8315,627
45,[],2020-05-25 15:09:30,"Jumbo facilities created in Mumbai for treating COVID patients;

The first open hospital in the Country has been created in a fortnight by the @MMRDAOfficial at the BKC. This 1,000 bed jumbo facility includes a 200 bed ICU.pic.twitter.com/Xo2Eq6gZGf",CMOMaharashtra,7698,1665
46,[],2020-05-22 06:16:25,"80% of all hospital beds at regulated
rates for COVID & Non-COVID treatment; pic.twitter.com/aRM0Wpin7d",CMOMaharashtra,2667,479
47,[],2020-05-19 10:25:05,Revised Guidelines during the extended period of Lockdown for the containment of COVID-19 in the State. (1/3) pic.twitter.com/rHAqDJFKbh,CMOMaharashtra,3349,808
48,[],2020-05-13 11:47:45,"As a part of preparedness, the @ngpnmc , in collaboration with RSSB has built a fully-equipped Covid Care Centre. Developed in the ashram premises at Yerla, the centre has a capacity to house 5,000 beds. 20 doctors and other medical staff has been deputed for every 100 beds. pic.twitter.com/ML7A1OPUo6",CMOMaharashtra,5595,622
49,[],2020-05-05 13:02:22,Clarification to Revised Guidelines on the Lockdown measures for containment of COVID-19 in the State pic.twitter.com/TSOrFTEa5X,CMOMaharashtra,4119,738
50,[],2020-05-02 15:43:26,Extension of Lockdown and Revised Guidelines on the measures to be taken for containment of COVID-19 in the State. pic.twitter.com/1gy8TumUuL,CMOMaharashtra,4205,809
51,['WarAgainstVirushttps'],2020-04-28 05:32:15,"Blood samples of 4 COVID survivors tested positive for antibodies. Their plasma will now be used to treat other patients. 

#WarAgainstVirushttps://twitter.com/mybmc/status/1254621468295442434 …",CMOMaharashtra,3187,538
52,['WarAgainstViruspic'],2020-04-25 14:36:01,"Total samples tested for COVID-19 in Maharashtra - 1,00,912 as of 25th April 2020 10:00am

Trace  Test  Treat  Repeat

#WarAgainstViruspic.twitter.com/48oEqO4dp0",CMOMaharashtra,6629,1134
53,['WarAgainstViruspic'],2020-04-13 16:34:00,"A Task Force of Specialist Doctors to suggest measures to minimise the death rate, for clinical management & treatment of critically ill COVID-19 patients particularly in specialised designated Hospitals has been constituted by the State Government.
#WarAgainstViruspic.twitter.com/QYrDrkQGUq",CMOMaharashtra,3636,615
54,[],2020-04-13 07:05:15,"This is a comprehensive report prepared by @Maha_MEDD , a statistical representation of the situation of COVID-19 in Maharashtra.

13/04/2020 10:00am IST https://twitter.com/Maha_MEDD/status/1249593448820125697 …",CMOMaharashtra,874,186
55,[],2020-04-10 06:18:19,"This is a comprehensive report prepared by @Maha_MEDD , a statistical representation of the situation of COVID-19 in Maharashtra.

10/04/2020 10:00am IST https://twitter.com/Maha_MEDD/status/1248484537216065536 …",CMOMaharashtra,482,114
56,[],2020-04-09 09:58:58,"This is a comprehensive report prepared by @Maha_MEDD , a statistical representation of the situation of COVID-19 in Maharashtra.

09/04/2020 10:00am IST https://twitter.com/Maha_MEDD/status/1248156898894811136 …",CMOMaharashtra,849,186
57,[],2020-04-08 11:26:31,"This is a comprehensive report prepared by @Maha_MEDD , a statistical representation of the situation of COVID-19 in Maharashtra. https://twitter.com/Maha_MEDD/status/1247796506435792897 …",CMOMaharashtra,495,126
58,['WarAgainstVirus'],2020-04-05 10:20:54,"Call 1800-120-820050 if you're anxious about COVID-19
#WarAgainstVirus
@mybmc @mpowermindspic.twitter.com/a4BpABPMvH",CMOMaharashtra,3196,927
59,['WarAgainstViruspic'],2020-04-04 05:58:15,"List of isolation facility for treatment of COVID-19 in Mumbai:

#WarAgainstViruspic.twitter.com/FRW7gLXVI1",CMOMaharashtra,2680,681
60,[],2020-03-29 17:29:08,CM Uddhav Balasaheb Thackeray interacted with our Heroes serving in COVID Ward at PMCs Naidu Hospital & @mybmc ’s Kasturba Hospital today.pic.twitter.com/cpSkgP8lHQ,CMOMaharashtra,4369,526
61,[],2020-03-25 04:46:51,"The Government of Maharashtra has set up a dedicated WhatsApp helpline ""COVID Helpline Maharashtra"" that people can message on and stay updated about COVID-19 facts and latest guidance. 

Please send ""Hi"" to +91-2026127394 to initiate your query on the helpline.",CMOMaharashtra,3514,1183
62,['WarAgainstViruspic'],2020-03-24 18:38:52,"CM Uddhav Balasaheb Thackeray today in his @Facebook live launched the “Government of Maharashtra’s interactive WhatsApp chatbot for COVID-19”

#WarAgainstViruspic.twitter.com/T0se7NV62P",CMOMaharashtra,1638,413
63,['WarAgainstViruspic'],2020-03-23 13:39:17," COVID-19 - The Epidemic Diseases Act, 1897 - Lockdown - Orders

#WarAgainstViruspic.twitter.com/WPxsBJMRtv",CMOMaharashtra,2367,943
64,['WarAgainstViruspic'],2020-03-22 08:13:09,"In continuation of the measures taken in the wake of COVID-19, it has been decided that the cancellation of all passenger train services on Indian Railways and Konkan Railway shall be extended till the 2400 hours of 31.03.2020 as follows:

#WarAgainstViruspic.twitter.com/y3kLFckovU",CMOMaharashtra,3434,841
65,[],2020-03-19 06:27:16,"CM Uddhav Balasaheb Thackeray will address the State on further measures taken to contain the spread of COVID-19 (Coronavirus) at 12 noon on 19th March 2020.

Facebook: https://bit.ly/2TZbpTX 
Twitter:@CMOMaharashtra 
YT: https://bit.ly/2wm5Yp3 
Instagram: @cmomaharashtra_",CMOMaharashtra,730,204
66,[],2020-07-09 17:36:58,"And yet again, they set another example for सद्रक्षणाय खलनिग्रहणाय!

14 Officers from Khar Police Station who recovered from Coronavirus donated their plasma which will help to save critically ill patients pic.twitter.com/obX0Kxz8pz",CMOMaharashtra,4593,398
67,[],2020-06-26 15:28:14,"CM Uddhav Balasaheb Thackeray, today, held a meeting with Municipal Commissioners and other officers to discuss measures to combat the spread of Coronavirus in Thane district. Guardian Minister @mieknathshinde , Minister @AUThackeray were also present for the same.pic.twitter.com/oRTaJEGQLf",CMOMaharashtra,1949,139
68,[],2020-04-27 06:51:24,"CM Uddhav Balasaheb Thackeray in an on going video conference with the Hon’ble Prime Minister @narendramodi ji, Union Home Minister @AmitShah ji along with the Chief Ministers of other States on further steps to be taken to beat Coronavirus. pic.twitter.com/4xwBcQSfPj",CMOMaharashtra,9275,623
69,[],2020-04-24 14:49:00,CM Uddhav Balasaheb Thackeray had a telephonic discussion with the Chief Minister of Rajasthan Shri. @ashokgehlot51 ji on measures taken to contain the spread of coronavirus by both the States & various other subjects.,CMOMaharashtra,1658,217
70,[],2020-04-18 15:36:50,"With regards to reports about the media, clarity on some unnecessary confusion is needed. Both Print & Electronic media are allowed to operate at the basic operational number of staff in these times of fighting corona virus.",CMOMaharashtra,1637,211
71,[],2020-04-16 17:25:24,"CM Uddhav Balasaheb Thackeray took a review meeting today via Video Conference with the Chief Secretary, Secretaries of relevant departments & BMC Municipal Commissioner along with the Task Force to discuss further steps to be taken to stop the spread of Coronavirus.",CMOMaharashtra,3813,391
72,[],2020-04-11 06:45:11,CM Uddhav Balasaheb Thackeray discussing preventive measures to mitigate the spread of Coronavirus with the Hon’ble Prime Minister @narendramodi ji via video conference.pic.twitter.com/HjEge905Kh,CMOMaharashtra,3056,305
73,[],2020-04-02 11:43:31,"CM Uddhav Balasaheb Thackeray discussed with the Hon’ble PM @narendramodi ji via VC on the measures taken to prevent the spread of Coronavirus in Maharashtra.

Following points were discussed: pic.twitter.com/1vQOD4jJrE",CMOMaharashtra,2208,277
74,[],2020-03-26 15:23:06,CM Uddhav Balasaheb Thackeray chaired a review meeting along with DCM @AjitPawarSpeaks with Regional Commissioners & District Collectors via VC to take an update on the execution & effectiveness of the measures taken to stop the spread of Coronavirus. pic.twitter.com/lhAoFPWXzO,CMOMaharashtra,1035,150
75,['WarAgainstViruspic'],2020-03-24 07:43:09,"Following are the regulations & measures taken by the State Government to stop the spread of Coronavirus.

Send this to your friends & family to avoid confusion & misinformation. 

#WarAgainstViruspic.twitter.com/0sReKu54As",CMOMaharashtra,2267,693
76,[],2020-03-19 06:27:16,"CM Uddhav Balasaheb Thackeray will address the State on further measures taken to contain the spread of COVID-19 (Coronavirus) at 12 noon on 19th March 2020.

Facebook: https://bit.ly/2TZbpTX 
Twitter:@CMOMaharashtra 
YT: https://bit.ly/2wm5Yp3 
Instagram: @cmomaharashtra_",CMOMaharashtra,730,204
77,[],2020-03-16 14:39:18,CM Uddhav Balasaheb Thackeray addressing the State regarding further steps taken by the Government to contain the spread of Corona Virus. pic.twitter.com/NxWfLzKjHu,CMOMaharashtra,826,155
78,[],2020-07-09 17:36:58,"And yet again, they set another example for सद्रक्षणाय खलनिग्रहणाय!

14 Officers from Khar Police Station who recovered from Coronavirus donated their plasma which will help to save critically ill patients pic.twitter.com/obX0Kxz8pz",CMOMaharashtra,4593,398
79,[],2020-06-26 15:28:14,"CM Uddhav Balasaheb Thackeray, today, held a meeting with Municipal Commissioners and other officers to discuss measures to combat the spread of Coronavirus in Thane district. Guardian Minister @mieknathshinde , Minister @AUThackeray were also present for the same.pic.twitter.com/oRTaJEGQLf",CMOMaharashtra,1949,139
80,[],2020-04-27 06:51:24,"CM Uddhav Balasaheb Thackeray in an on going video conference with the Hon’ble Prime Minister @narendramodi ji, Union Home Minister @AmitShah ji along with the Chief Ministers of other States on further steps to be taken to beat Coronavirus. pic.twitter.com/4xwBcQSfPj",CMOMaharashtra,9275,623
81,[],2020-04-24 14:49:00,CM Uddhav Balasaheb Thackeray had a telephonic discussion with the Chief Minister of Rajasthan Shri. @ashokgehlot51 ji on measures taken to contain the spread of coronavirus by both the States & various other subjects.,CMOMaharashtra,1658,217
82,[],2020-04-18 15:36:50,"With regards to reports about the media, clarity on some unnecessary confusion is needed. Both Print & Electronic media are allowed to operate at the basic operational number of staff in these times of fighting corona virus.",CMOMaharashtra,1637,211
83,[],2020-04-16 17:25:24,"CM Uddhav Balasaheb Thackeray took a review meeting today via Video Conference with the Chief Secretary, Secretaries of relevant departments & BMC Municipal Commissioner along with the Task Force to discuss further steps to be taken to stop the spread of Coronavirus.",CMOMaharashtra,3813,391
84,[],2020-04-11 06:45:11,CM Uddhav Balasaheb Thackeray discussing preventive measures to mitigate the spread of Coronavirus with the Hon’ble Prime Minister @narendramodi ji via video conference.pic.twitter.com/HjEge905Kh,CMOMaharashtra,3056,305
85,[],2020-04-02 11:43:31,"CM Uddhav Balasaheb Thackeray discussed with the Hon’ble PM @narendramodi ji via VC on the measures taken to prevent the spread of Coronavirus in Maharashtra.

Following points were discussed: pic.twitter.com/1vQOD4jJrE",CMOMaharashtra,2208,277
86,[],2020-03-26 15:23:06,CM Uddhav Balasaheb Thackeray chaired a review meeting along with DCM @AjitPawarSpeaks with Regional Commissioners & District Collectors via VC to take an update on the execution & effectiveness of the measures taken to stop the spread of Coronavirus. pic.twitter.com/lhAoFPWXzO,CMOMaharashtra,1035,150
87,['WarAgainstViruspic'],2020-03-24 07:43:09,"Following are the regulations & measures taken by the State Government to stop the spread of Coronavirus.

Send this to your friends & family to avoid confusion & misinformation. 

#WarAgainstViruspic.twitter.com/0sReKu54As",CMOMaharashtra,2267,693
88,[],2020-03-19 06:27:16,"CM Uddhav Balasaheb Thackeray will address the State on further measures taken to contain the spread of COVID-19 (Coronavirus) at 12 noon on 19th March 2020.

Facebook: https://bit.ly/2TZbpTX 
Twitter:@CMOMaharashtra 
YT: https://bit.ly/2wm5Yp3 
Instagram: @cmomaharashtra_",CMOMaharashtra,730,204
89,[],2020-03-16 14:39:18,CM Uddhav Balasaheb Thackeray addressing the State regarding further steps taken by the Government to contain the spread of Corona Virus. pic.twitter.com/NxWfLzKjHu,CMOMaharashtra,826,155
90,[],2020-03-16 07:43:27,A review meeting on preparedness & the situation of Corona Virus with every district officer via Video Conference is underway with CM Uddhav Balasaheb Thackeray.,CMOMaharashtra,1182,170
91,"['CoronaFacts', 'COVID19', 'StaySafepic']",2020-07-10 16:36:56,"#CoronaFacts:

Is it safe to donate or receive blood during #COVID19
Respiratory viruses are generally not known to be transmitted by blood donation or transfusion. Therefore, individuals are not at risk of contracting COVID through these means. 

@ICMRDELHI
#StaySafepic.twitter.com/yy4OdrRSSw",COVIDNewsByMIB,30,18
92,"['IndiaFightsCorona', 'COVID19', 'COVID', 'StaySafe', 'IndiaWillWin', 'BreakTheStigmapic']",2020-07-10 16:19:02,"#IndiaFightsCorona:

Minding our minds during #COVID19
Don't stigmatise people with #COVID: Maintain a safe physical distance, but remember that they need our care and concern.

#StaySafe #IndiaWillWin #BreakTheStigmapic.twitter.com/WIVXsxC7lX",COVIDNewsByMIB,30,7
93,"['IndiaFightsCorona', 'AtmaNirbharBharatAbhiyan', 'VocalForLocal']",2020-07-10 12:46:50,"#IndiaFightsCorona: 

Bamboo sector will be one of the important components of India's Post-COVID economy; Bamboo to propel the #AtmaNirbharBharatAbhiyan in the NE Region by imbibing #VocalForLocal  mantra: Union Minister @DrJitendraSingh. 

Details: https://bit.ly/3fgi0Sl pic.twitter.com/VVOMSfek7z",COVIDNewsByMIB,23,13
94,"['CoronaVirusUpdates', 'COVID19', 'lockdown', 'IndiaFightsCorona']",2020-07-10 04:46:59,"#CoronaVirusUpdates:

India's #COVID19 recovery rate crosses 62% and improves to 62.42% as on July 10, 2020

Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25, 2020

#IndiaFightsCorona
@ICMRDELHI

Via @MoHFW_INDIApic.twitter.com/9kVpvnfZcL",COVIDNewsByMIB,59,34
95,"['CoronaVirusUpdates', 'COVID19']",2020-07-10 04:44:54,"#CoronaVirusUpdates: 

Total #COVID19 Cases in India (as on July 10, 2020)

62.42% Cured/Discharged/Migrated (495,513)
34.86% Active cases (276,685)
2.72% Deaths (21,604)

Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths

Via @MoHFW_INDIApic.twitter.com/bJW2z9R8wy",COVIDNewsByMIB,59,25
96,"['IndiaFightsCorona', 'COVID', 'StaySafepic']",2020-07-10 03:11:37,"#IndiaFightsCorona:

Steps to take when #COVID cases occur in offices

In general, staff showing flu-like illness shouldn't attend office and seek medical advice

But when people show symptoms within office spaces:

Isolate the ill person from the other employees

#StaySafepic.twitter.com/diMCtyh63a",COVIDNewsByMIB,22,15
97,"['IndiaFightsCorona', 'ICMR', 'COVID19', 'Serosurvey', 'StaySafe']",2020-07-09 12:17:06,"#IndiaFightsCorona: 

#ICMR conducted Serosurvey for #COVID19 in May 2020 in collaboration with State health departments, National Centre for Disease Control (NCDC) & WHO India. 

Let's understand what is COVID-19 #Serosurvey & how does it work
#StaySafe 

Via @ICMRDELHIpic.twitter.com/ujVk1BYkPt",COVIDNewsByMIB,28,4
98,"['IndiaFightsCorona', 'COVID19', 'COVID', 'StaySafe', 'IndiaWillWin', 'BreakTheStigmapic']",2020-07-09 11:32:47,"#IndiaFightsCorona:

Minding our minds during #COVID19
Don't stigmatise people with #COVID: Maintain a safe physical distance, but remember that they need our care and concern.

#StaySafe #IndiaWillWin #BreakTheStigmapic.twitter.com/CHFdVwbSDA",COVIDNewsByMIB,27,17
